Source,Subtopic1,Subtopic2,Swedish,SwedishExample,en_Word,en_Example,es_Word,es_Example,fa_Word,fa_Example,el_Word,el_Example,uk_Word,uk_Example,ru_Word,ru_Example,hi_Word,hi_Example,bn_Word,bn_Example,sq_Word,sq_Example,tr_Word,tr_Example,ms_Word,ms_Example,fil_Word,fil_Example
Ingrid,Ordlist,07th Nov,ett val,Nästa val hålls om fyra år.,an election / a choice,The next election will be held in four years.,Una elección,Las próximas elecciones se celebrarán dentro de cuatro años.,یک انتخاب,انتخابات بعدی چهار سال دیگر برگزار خواهد شد.,Μια επιλογή,Οι επόμενες εκλογές θα διεξαχθούν σε τέσσερα χρόνια.,Вибір,Наступні вибори відбудуться через чотири роки.,Выбор,Следующие выборы состоятся через четыре года.,एक विकल्प,अगला चुनाव चार साल में होगा।,একটি পছন্দ,আগামী চার বছরের মধ্যে নির্বাচন অনুষ্ঠিত হবে।,Një zgjedhje,Zgjedhjet e ardhshme do të mbahen pas katër vitesh.,Bir seçim,Bir sonraki seçim dört yıl sonra yapılacak.,Pilihan,Pilihan raya seterusnya akan diadakan dalam masa empat tahun.,Isang pagpipilian,Ang susunod na eleksyon ay gaganapin sa loob ng apat na taon.
Ingrid,Ordlist,07th Nov,välja (4) välj / väljer / valde / valt,Jag måste välja vilken utbildning jag ska gå.,to choose / to select,I must choose which education I will pursue.,Seleccione (4) Seleccionar/Seleccionar/Seleccionado/Seleccionado,Tengo que elegir qué educación tomar.,انتخاب (4) انتخاب/انتخاب/انتخاب شده/انتخاب شده,من باید انتخاب کنم که کدام آموزش را بگذرانم.,Επιλέξτε (4) Επιλογή/Επιλογή/Επιλογή/Επιλογή,Πρέπει να επιλέξω ποια εκπαίδευση θα πάρω.,Виберіть (4) Вибрати/Вибрати/Вибрано/Вибрано,Я маю вибрати / яку освіту обрати.,Выбрать (4) Выбрать/Выбрать/Выбрано/Выбрано,Я должен выбрать / какое образование выбрать.,चुनें (4) चयन/चयन/चयन/चयनित,मुझे यह चुनना है कि कौन सी शिक्षा लेनी है।,নির্বাচন করুন (4) নির্বাচন করুন/নির্বাচন/নির্বাচিত/নির্বাচিত,আমাকে বেছে নিতে হবে কোন শিক্ষা নেব।,Zgjidhni (4) Zgjidhni / Zgjidhni / Zgjidhni / Zgjidhni,Unë duhet të zgjedh se cilin arsim të marr.,Seç (4) Seç/Seç/Seçilen/Seçilen,Hangi eğitimi alacağımı seçmek zorundayım.,Pilih (4) Pilih/Pilih/Dipilih/Dipilih,Saya perlu memilih pendidikan mana yang hendak diambil.,Piliin (4) Piliin / Piliin / Piliin / Piliin,Kailangan kong pumili kung aling edukasyon ang kukunin ko.
Ingrid,Ordlist,07th Nov,rösta (1) på ett parti / en röst-er,Hon kommer att rösta på Miljöpartiet i år.,to vote for a party / a vote / to cast a ballot,She is going to vote for the Green Party this year.,Votar (1) por un partido/votante,Ella votará por el Partido Verde este año.,رای دادن (1) به یک حزب/رای دهنده,او امسال به حزب سبز رای خواهد داد.,Ψηφίστε (1) για ένα κόμμα/ψηφοφόρο,Θα ψηφίσει φέτος το Κόμμα των Πρασίνων.,Голосуйте (1) за партію/виборця,Цього року вона голосуватиме за Партію зелених.,Голосуйте (1) за партию/голосующего,В этом году она будет голосовать за Партию зеленых.,एक पार्टी/वोट-एर के लिए वोट (1),वह इस साल ग्रीन पार्टी को वोट देंगी।,একটি দল/ভোটারের জন্য ভোট দিন (1),এ বছর গ্রিন পার্টিকে ভোট দেবেন তিনি।,Votoni (1) për një parti/votues,Ajo do të votojë për Partinë e Gjelbër këtë vit.,Bir partiye/oy verene (1) oy verin,Bu yıl Yeşiller Partisi'ne oy verecek.,Undi (1) untuk parti/pengundi,Dia akan mengundi Parti Hijau tahun ini.,Bumoto (1) para sa isang partido/botante-er,Bumoto siya para sa Green Party ngayong taon.
Ingrid,Ordlist,07th Nov,ett parti-er,Sveriges riksdag har åtta partier.,a party / a political group,The Swedish Parliament has eight parties.,Un lote,El Parlamento sueco tiene ocho partidos.,یک لات,پارلمان سوئد دارای هشت حزب است.,Μία παρτίδα,Το σουηδικό κοινοβούλιο έχει οκτώ κόμματα.,Один лот,Шведський парламент налічує вісім партій.,Один лот,Парламент Швеции состоит из восьми партий.,एक लॉट,स्वीडिश संसद में आठ पार्टियां हैं।,এক লট,সুইডিশ পার্লামেন্টে আটটি দল রয়েছে।,Një lot,Parlamenti suedez ka tetë parti.,Bir Lot,İsveç Parlamentosu'nda sekiz parti bulunmaktadır.,Satu Lot,Parlimen Sweden mempunyai lapan parti.,Isang Lot,Ang Parlyamento ng Sweden ay may walong partido.
Ingrid,Ordlist,07th Nov,en partiledare,Partiledaren höll ett tal på torget.,a party leader / a party chair,The party leader gave a speech in the square.,Un líder del partido,El líder del partido pronunció un discurso en la plaza.,یک رهبر حزب,رهبر حزب در میدان سخنرانی کرد.,Αρχηγός κόμματος,Ο αρχηγός του κόμματος έδωσε ομιλία στην πλατεία.,Лідер партії,Лідер партії виголосив промову на площі.,Лидер партии,Лидер партии выступил с речью на площади.,पार्टी का एक नेता,पार्टी नेता ने चौक में भाषण दिया।,দলের নেতা,দলীয় নেতা স্কোয়ারে একটি বক্তৃতা দিয়েছিলেন।,Një udhëheqës partie,Kryetari i partisë mbajti një fjalim në shesh.,Bir parti lideri,Parti lideri meydanda bir konuşma yaptı.,Seorang pemimpin parti,Ketua parti itu memberi ucapan di dataran.,Isang lider ng partido,Nagbigay ng talumpati ang lider ng partido sa plaza.
Ingrid,Ordlist,07th Nov,ett utskott = en miniriksdag,Frågan skickades till utskottet för behandling.,a committee / a panel,The question was sent to the committee for deliberation.,Un comité = un miniparlamento,El asunto fue remitido al comité para su consideración.,یک کمیته = یک مینی پارلمان,موضوع برای بررسی به کمیته ارجاع شد.,Μια επιτροπή = ένα μίνι κοινοβούλιο,Το θέμα παραπέμφθηκε στην επιτροπή για εξέταση.,Комітет = міні-парламент,Питання було передано на розгляд комітету.,Комитет = мини-парламент,Вопрос был передан на рассмотрение комитета.,एक समिति = एक मिनी-संसद,इस मामले को विचार के लिए समिति के पास भेजा गया था।,একটি কমিটি = একটি মিনি-পার্লামেন্ট,বিষয়টি বিবেচনার জন্য কমিটিতে প্রেরণ করা হয়েছে।,Një komision = një mini-parlament,Çështja iu referua komisionit për shqyrtim.,Bir komite = bir mini parlamento,Konu değerlendirilmek üzere komiteye havale edildi.,Jawatankuasa = parlimen mini,Perkara itu telah dirujuk kepada jawatankuasa untuk pertimbangan.,Isang komite = isang mini-parlamento,Ang bagay na ito ay isinangguni sa komite para sa pagsasaalang-alang.
Ingrid,Ordlist,07th Nov,ett departement,Socialdepartementet ansvarar för sociala frågor.,a department / a ministry,The Ministry of Health and Social Affairs is responsible for social issues.,Un ministerio,El Ministerio de Salud y Asuntos Sociales es responsable de las cuestiones sociales.,یک وزارتخانه,وزارت بهداشت و امور اجتماعی مسئولیت مسائل اجتماعی را بر عهده دارد.,Ένα υπουργείο,Το Υπουργείο Υγείας και Κοινωνικών Υποθέσεων είναι αρμόδιο για κοινωνικά θέματα.,Одне служіння,За соціальні питання відповідає Міністерство охорони здоров'я та соціальних справ.,Одно министерство,За социальные вопросы отвечает Министерство здравоохранения и социальных дел.,एक मंत्रालय,स्वास्थ्य और सामाजिक मामलों का मंत्रालय सामाजिक मुद्दों के लिए जिम्मेदार है।,একটি মন্ত্রণালয়,স্বাস্থ্য ও সামাজিক বিষয়ক মন্ত্রণালয় সামাজিক বিষয়গুলির জন্য দায়ী।,Një shërbesë,Ministria e Shëndetësisë dhe Çështjeve Sociale është përgjegjëse për çështjet sociale.,Tek bakanlık,Sağlık ve Sosyal İşler Bakanlığı sosyal konulardan sorumludur.,Satu kementerian,Kementerian Kesihatan dan Hal Ehwal Sosial bertanggungjawab terhadap isu-isu sosial.,Isang ministeryo,Ang Ministri ng Kalusugan at Ugnayang Panlipunan ang may pananagutan sa mga isyung panlipunan.
Ingrid,Ordlist,07th Nov,en minister = ett statsråd,Utrikesministern är en viktig minister.,a minister / a cabinet member,The Foreign Minister is an important cabinet member.,un ministro = un ministro,El Ministro de Relaciones Exteriores es un ministro importante.,یک وزیر = یک وزیر,وزیر امور خارجه وزیر مهمی است.,ένας υπουργός = ένας υπουργός,Ο Υπουργός Εξωτερικών είναι ένας σημαντικός υπουργός.,Один міністр = один міністр,Міністр закордонних справ є важливим міністром.,один министр = один министр,Министр иностранных дел является важным министром.,एक मंत्री = एक मंत्री,विदेश मंत्री एक महत्वपूर्ण मंत्री होते हैं।,একজন মন্ত্রী = একজন মন্ত্রী,পররাষ্ট্রমন্ত্রী একজন গুরুত্বপূর্ণ মন্ত্রী।,një ministër = një ministër,Ministri i Punëve të Jashtme është një ministër i rëndësishëm.,Bir Bakan = Bir Bakan,Dışişleri Bakanı önemli bir bakandır.,seorang menteri = seorang menteri,Menteri Luar Negeri adalah menteri penting.,Isang Ministro = Isang Ministro,Ang Ministro ng Ugnayang Panlabas ay isang mahalagang ministro.
Ingrid,Ordlist,07th Nov,en myndighet-er,Polisen är en statlig myndighet.,an agency / an authority,The Police is a state agency.,Una autoridad-es,La policía es una agencia gubernamental.,یک مرجع است,پلیس یک سازمان دولتی است.,Μια αρχή,Η αστυνομία είναι μια κυβερνητική υπηρεσία.,Авторитет - це,Поліція є державним органом.,Орган власти – это,Полиция является государственным органом.,एक प्राधिकरण-है,पुलिस एक सरकारी एजेंसी है।,একটি কর্তৃপক্ষ,পুলিশ একটি সরকারি সংস্থা।,Një autoritet është,Policia është një agjenci qeveritare.,Bir otorite,Polis bir devlet kurumudur.,Pihak berkuasa-adalah,Polis adalah agensi kerajaan.,Isang Awtoridad,Ang pulisya ay isang ahensya ng gobyerno.
Ingrid,Ordlist,07th Nov,riksdagen,Lagarna beslutas av riksdagen.,the Riksdag / the parliament,The laws are decided by the Riksdag.,Parlamento,Las leyes son decididas por el Riksdag.,پارلمان,قوانین توسط پارلمان تصمیم گیری می شود.,Κοινοβούλιο,Οι νόμοι αποφασίζονται από το Riksdag.,Парламент,Закони приймає Риксдаг.,Парламент,Законы принимаются Риксдагом.,पार्लियामेंट,कानून रिक्स्डाग द्वारा तय किए जाते हैं।,পার্লামেন্ট,আইনগুলি রিক্সড্যাগ দ্বারা নির্ধারিত হয়।,Parlamenti,Ligjet vendosen nga Riksdag.,Parlamento,Yasalar Riksdag tarafından kararlaştırılır.,Parlimen,Undang-undang diputuskan oleh Riksdag.,Parlamento,Ang mga batas ay napagpasyahan ng Riksdag.
Ingrid,Ordlist,07th Nov,regeringen,Regeringen presenterade sin budget i höstas.,the government / the administration,The government presented its budget last autumn.,gobierno,El gobierno presentó su presupuesto el otoño pasado.,دولت,دولت بودجه خود را در پاییز گذشته ارائه کرد.,κυβέρνηση,Η κυβέρνηση παρουσίασε τον προϋπολογισμό της το περασμένο φθινόπωρο.,уряд,Уряд представив свій бюджет восени минулого року.,правительство,Правительство представило свой бюджет осенью прошлого года.,सरकार,सरकार ने पिछली शरद ऋतु में अपना बजट पेश किया था।,সরকার,গত শরৎকালে সরকার তাদের বাজেট পেশ করে।,qeveria,Qeveria prezantoi buxhetin e saj vjeshtën e kaluar.,hükümet,Hükümet bütçesini geçen sonbaharda sundu.,Kerajaan,Kerajaan membentangkan belanjawannya pada musim luruh lalu.,pamahalaan,Iniharap ng gobyerno ang badyet nito noong nakaraang taglagas.
Ingrid,Ordlist,07th Nov,en riksdagsledamot (sitter i riksdagen),Varje riksdagsledamot har en röst.,a Member of Parliament (MP) / a representative,Every Member of Parliament has one vote.,un miembro del parlamento (un miembro del parlamento),Cada miembro del Riksdag tiene un voto.,عضو مجلس (عضو پارلمان),هر عضو پارلمان یک رأی دارد.,μέλος του Κοινοβουλίου (μέλος του Κοινοβουλίου),Κάθε μέλος του Riksdag διαθέτει μία ψήφο.,член парламенту (член парламенту),Кожен член Риксдагу має один голос.,Член Парламента (член Парламента),Каждый член Риксдага имеет один голос.,संसद सदस्य (संसद सदस्य),रिक्स्डाग के प्रत्येक सदस्य के पास एक वोट है।,সংসদ সদস্য (সংসদ সদস্য),রিক্সডাগের প্রতিটি সদস্যের একটি করে ভোট রয়েছে।,një anëtar i parlamentit (një anëtar i parlamentit),Çdo anëtar i Riksdag ka një votë.,Bir Parlamento Üyesi (Bir Parlamento Üyesi),Riksdag'ın her üyesinin bir oyu vardır.,Ahli Parlimen (Ahli Parlimen),Setiap ahli Riksdag mempunyai satu undi.,Isang Miyembro ng Parlyamento (isang Miyembro ng Parlyamento),Ang bawat miyembro ng Riksdag ay may isang boto.
Ingrid,Ordlist,07th Nov,förbereda (2a),Vi måste förbereda oss inför mötet.,to prepare / to arrange,We must prepare ourselves before the meeting.,Preparar (2a),Debemos prepararnos para la reunión.,آماده کردن (2a),ما باید برای جلسه آماده شویم.,Προετοιμασία (2α),Πρέπει να προετοιμαστούμε για τη συνάντηση.,Підготуйте (2а),Треба готуватися до зустрічі.,Подготовка (2а),Мы должны подготовиться к этой встрече.,तैयार करें (2ए),हमें बैठक की तैयारी करनी चाहिए।,প্রস্তুত করুন (2a),আমাদের অবশ্যই বৈঠকের জন্য প্রস্তুতি নিতে হবে।,Përgatit (2a),Ne duhet të përgatitemi për takimin.,Hazırlık (2a),Toplantıya hazırlanmalıyız.,Sediakan (2a),Kita mesti bersedia untuk mesyuarat itu.,Maghanda (2a),Kailangan nating maghanda para sa pagpupulong.
Ingrid,Ordlist,07th Nov,en myndighet-er,Skatteverket är en myndighet.,an agency / an authority,The Swedish Tax Agency is an authority.,Una autoridad-es,La Agencia Tributaria Sueca es una autoridad pública.,یک مرجع است,اداره مالیات یک اداره دولتی است.,Μια αρχή,Η Σουηδική Φορολογική Υπηρεσία είναι δημόσια αρχή.,Авторитет - це,Податкова служба Швеції є державним органом.,Орган власти – это,Налоговое управление Швеции является государственным органом.,एक प्राधिकरण-है,स्वीडिश टैक्स एजेंसी एक सार्वजनिक प्राधिकरण है।,একটি কর্তৃপক্ষ,সুইডিশ ট্যাক্স এজেন্সি একটি পাবলিক কর্তৃপক্ষ।,Një autoritet është,Agjencia Suedeze e Taksave është një autoritet publik.,Bir otorite,İsveç Vergi Dairesi bir kamu otoritesidir.,Pihak berkuasa-adalah,Agensi Cukai Sweden ialah pihak berkuasa awam.,Isang Awtoridad,Ang Sweden Tax Agency ay isang pampublikong awtoridad.
Ingrid,Ordlist,07th Nov,äga (2a) rum,Mötet kommer att äga rum i morgon.,to take place / to occur,The meeting will take place tomorrow.,Tener lugar (2a),La reunión tendrá lugar mañana.,برگزار می شود (2a),این نشست فردا برگزار می شود.,Πραγματοποιείται (2α),Η συνάντηση θα πραγματοποιηθεί αύριο.,Відбутися (2а),Зустріч відбудеться завтра.,Место проведения (2а),Встреча состоится завтра.,जगह लें (2 ए),यह बैठक कल होगी।,স্থান (2a),আগামীকাল এ বৈঠক অনুষ্ঠিত হবে।,Zhvillohet (2a),Takimi do të zhvillohet nesër.,Yer almak (2a),Toplantı yarın yapılacak.,Berlangsung (2a),Mesyuarat akan berlangsung esok.,Mangyari (2a),Gaganapin ang pagpupulong bukas.
Ingrid,Ordlist,07th Nov,en brand-bränder,Branden startade i köket.,a fire / a blaze,The fire started in the kitchen.,Un fuego-fuego,El fuego comenzó en la cocina.,آتش سوزی,آتش سوزی در آشپزخانه شروع شد.,Μια φωτιά-φωτιά,Η φωτιά ξεκίνησε στην κουζίνα.,Пожежа-вогонь,Пожежа почалася на кухні.,Костер-костер,Пожар начался на кухне.,एक आग-आग,आग रसोई में लगी।,আগুনের আগুন,রান্নাঘরে আগুন লেগেছিল।,Një zjarr-zjarr,Zjarri filloi në kuzhinë.,Bir ateş,Yangın mutfakta başladı.,Kebakaran,Kebakaran bermula di dapur.,Isang apoy,Nagsimula ang apoy sa kusina.
Ingrid,Ordlist,07th Nov,en yta,Bordets yta är slät.,a surface / an area,The table's surface is smooth.,una superficie,La superficie de la mesa es lisa.,یک سطح,سطح میز صاف است.,μια επιφάνεια,Η επιφάνεια του τραπεζιού είναι λεία.,поверхню,Поверхня столу гладка.,Поверхность,Поверхность стола гладкая.,एक सतह,टेबल की सतह चिकनी है।,একটি পৃষ্ঠ,টেবিলের পৃষ্ঠটি মসৃণ।,një sipërfaqe,Sipërfaqja e tavolinës është e lëmuar.,bir yüzey,Masanın yüzeyi pürüzsüzdür.,permukaan,Permukaan meja licin.,Isang ibabaw,Makinis ang ibabaw ng mesa.
Ingrid,Ordlist,07th Nov,delta (4) i något,Jag vill delta i kursen.,to participate in something / to take part in something,I want to participate in the course.,participar (4) en cualquier,Quiero participar en el curso.,شرکت (4) در هر,من می خواهم در این دوره شرکت کنم.,συμμετέχουν (4) σε οποιαδήποτε,Θέλω να συμμετάσχω στο μάθημα.,брати участь (4) у будь-яких,Я хочу взяти участь у курсі.,участвовать (4) в любом,Я хочу принять участие в курсе.,भाग लें (4) किसी में भी,मैं पाठ्यक्रम में भाग लेना चाहता हूं।,(4) যে কোন একটি অংশগ্রহণ,আমি কোর্সে অংশ নিতে চাই।,marrin pjesë (4) në çdo,Dua të marr pjesë në kurs.,herhangi birine katılmak (4),Kursa katılmak istiyorum.,mengambil bahagian (4) dalam mana-mana,Saya mahu mengambil bahagian dalam kursus ini.,Makilahok (4) sa anumang,Gusto kong sumali sa kurso.
Ingrid,Ordlist,07th Nov,en deltagare,Det var många deltagare i loppet.,a participant / a contestant,There were many participants in the race.,un participante,Hubo muchos participantes en la carrera.,یک شرکت کننده,شرکت کنندگان زیادی در مسابقه حضور داشتند.,συμμετέχων,Στον αγώνα συμμετείχαν πολλοί.,Учасник,У забігу було багато учасників.,участник,В гонке участвовало много участников.,एक प्रतिभागी,दौड़ में कई प्रतिभागी थे।,একজন অংশগ্রহণকারী,দৌড়ে অনেকে অংশগ্রহণ করেছিলেন।,një pjesëmarrës,Kishte shumë pjesëmarrës në garë.,bir katılımcı,Yarışa çok sayıda katılımcı katıldı.,seorang peserta,Terdapat ramai peserta dalam perlumbaan itu.,Isang kalahok,Maraming kalahok sa karera.
Ingrid,Ordlist,07th Nov,en mångfald,Världen har en stor mångfald av kulturer.,a diversity / a variety,The world has a great diversity of cultures.,Una diversidad,El mundo tiene una gran diversidad de culturas.,تنوع,جهان دارای تنوع زیادی از فرهنگ ها است.,Μια ποικιλομορφία,Ο κόσμος έχει μεγάλη ποικιλία πολιτισμών.,Різноманіття,У світі існує велике розмаїття культур.,Разнообразие,В мире существует огромное разнообразие культур.,विविधता,दुनिया में संस्कृतियों की एक महान विविधता है।,একটি বৈচিত্র্য,বিশ্বের সংস্কৃতির বিশাল বৈচিত্র্য রয়েছে।,Një diversitet,Bota ka një larmi të madhe kulturash.,Çeşitlilik,Dünya çok çeşitli kültürlere sahiptir.,Kepelbagaian,Dunia mempunyai kepelbagaian budaya yang hebat.,Isang pagkakaiba-iba,Ang mundo ay may iba't ibang kultura.
Ingrid,Ordlist,07th Nov,hata (1),Jag hatar att vara sen.,to hate / to despise,I hate being late.,odio (1),Odio llegar tarde.,نفرت (1),از دیر رسیدن متنفرم.,μίσος (1),Μισώ να αργώ.,Ненависть (1),Я ненавиджу запізнюватися.,Ненависть (1),Я ненавижу опаздывать.,नफरत (1),मुझे देर से आने से नफरत है।,ঘৃণা (1),আমি দেরি করতে ঘৃণা করি।,urrejtje (1),E urrej të jem vonë.,nefret (1),Geç kalmaktan nefret ediyorum.,kebencian (1),Saya benci terlambat.,poot (1),Galit ako sa pagiging huli.
Ingrid,Ordlist,07th Nov,hota (1),Molnen hotar med regn.,to threaten / to menace,The clouds threaten rain.,amenaza (1),Las nubes amenazan con lluvia.,تهدید (1),ابرها باران را تهدید می کنند.,Απειλή (1),Τα σύννεφα απειλούν με βροχή.,загроза (1),Хмари загрожують дощем.,УГРОЗА (1),Облака грозят дождем.,धमकी (1),बादलों से बारिश का खतरा है।,হুমকি (1),মেঘ বৃষ্টির হুমকি দিচ্ছে।,kërcënim (1),Retë kërcënojnë shiun.,tehdit (1),Bulutlar yağmuru tehdit ediyor.,ancamana (1),Awan mengancam hujan.,banta (1),Ang mga ulap ay nagbabanta sa pag-ulan.
